Category,PDF Link
Federal,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221624.pdf
Federal,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193271.pdf
Federal,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K232672.pdf
Federal,https://www.accessdata.fda.gov/cdrh_docs/pdf2/P020011c.pdf
Federal,https://www.accessdata.fda.gov/cdrh_docs/pdf4/P040052c.pdf
Federal,https://405d.hhs.gov/Documents/405d-post-volxxv-july-2024.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/1348a9a067fd4d225981a822dfe25ea5/trustworthy-ai.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/29169d5765caa32bc6afc3ae1893221f/fy2024-ospcortf-annual-report.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/a4aef2b535dfc8a5a5571912e35c51a6/aspe-brief-human-services-health-data-linking.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/ff2e6f2963400dcd00e0132fb9870525/preparedness-metrics-report.pdf
Federal,https://dpcpsi.nih.gov/sites/default/files/2025-04/115PM-OSC-Concept-Clearance-PRIMED-AI-Chiang-Tromberg-508.pdf
Federal,https://commonfund.nih.gov/sites/default/files/PRIMED-AI/PRIMED-AI%20External-Input-Narrative-508.pdf
Federal,https://datascience.nih.gov/sites/default/files/users/user516/AI-Supplement-Dr.-Alaa-Youssef-Presentation-508.pdf
Federal,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/1500-18/NIST.SP.1500-18r2.pdf
State,https://www.cms.gov/priorities/innovation/files/slides/ai-hoc-overview-webinar-slides.pdf
State,https://www.cms.gov/priorities/innovation/Files/reports/QCA-Report.pdf
State,https://www.cms.gov/research-statistics-data-and-systems/research/healthcarefinancingreview/downloads/cms1191601dl.pdf
Federal,https://www.cdc.gov/pcd/issues/2024/pdf/24_0245.pdf
Federal,https://www.whitehouse.gov/wp-content/uploads/2020/08/M-20-29.pdf
Federal,https://www.whitehouse.gov/wp-content/uploads/2025/05/WH-The-MAHA-Report-Assessment.pdf
Federal,https://www.whitehouse.gov/wp-content/uploads/2018/07/M-18-22.pdf
Professional,https://www.aim-ahead.net/media/hd3fws1l/dstc-resources-pptx.pdf
Professional,https://www.aim-ahead.net/media/3cvd4x4g/pair-cohort-2-informational-webinar-shared.pdf
State,https://aitaskforce.alabama.gov/wp-content/uploads/2025/03/GenAI-TaskForce-Report_Final_20250321-002.pdf
State,https://medicaid.alabama.gov/documents/7.0_Providers/7.6_Manuals/7.8_PES_Manual_2-12-25.pdf
State,https://agi.alabama.gov/hemp/wp-content/uploads/sites/11/2022/03/Medical-Cannabis-Act-2021-450.pdf
State,https://doc.alabama.gov/docs/AdminRegs/AR410.pdf
State,https://budget.alabama.gov/wp-content/uploads/2024/02/State-of-Alabama-Budget-Report-2025-FINAL-v2.pdf
State,http://shpda.alabama.gov/Announcements/certificateofneed/EQR/FY2025/EQR2025-004%20Mobile%20Infirmary%20Medical%20Center%20-%20Equip%20Replacement%2011.21.2024.pdf
State,https://health.alaska.gov/media/qgvp5izy/fy23_annualreport.pdf
State,https://dggs.alaska.gov/webpubs/dggs/po/text/po2019_004.pdf
State,https://difi.az.gov/sites/default/files/report-to-congress-2024.pdf
State,https://dcs.az.gov/sites/default/files/DCS-Reports/ADCS_Next%20Event%20Study_June%202023.pdf
State,https://www.sos.arkansas.gov/uploads/rulesRegs/Arkansas%20Register/2008/mar_apr_2008/007.04.07--002.pdf
State,https://www.sos.arkansas.gov/uploads/rulesRegs/Arkansas%20Register/2006/nov_dec_2006/016.24.06-007.pdf
State,https://information.auditor.ca.gov/pdfs/reports/2022-102.pdf
State,https://dhr.delaware.gov/benefits/sebc/documents/sub-comm-2020/0109-cerner-presentation.pdf
State,https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/2009ruralmentalhealthassessment.pdf
State,https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/demsocreport2017.pdf
State,https://dvcc.delaware.gov/wp-content/uploads/sites/87/2021/03/2021_DVCC_DV_Manual_for_HCPs_FINAL_03.09.2021.pdf
Professional,https://ahca.myflorida.com/content/download/22410/file/FL_2021-2022_EQR-TR_Report.pdf
Professional,https://ahca.myflorida.com/content/download/24675/file/MED180%20D50%20MMA%20Summative%20Report%20FINAL.pdf
Professional,https://ahca.myflorida.com/content/download/10499/file/SCHIP_MeetingPacket061621.pdf
Professional,"https://ahca.myflorida.com/content/download/24421/file/The%20Joseph%20L.%20Morse%20Health%20Center,%20Inc.%20-%20Redacted.pdf"
State,https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/NOTICES/New%20Biller-Web%20Portal%20Navigation%202023%20Webinar%20PresentationFINALFINAL%2020230112173143.pdf
State,https://labor.hawaii.gov/hiosh/files/2022/01/Preventing-Needlestick-Injuries-in-Health-Care-Settings.pdf
State,https://health.hawaii.gov/dcab/files/2013/01/2012-DCABtravel-Maui-brochure.pdf
State,https://health.hawaii.gov/dcab/files/2013/01/2012-DCABtravel-Kauai-brochure.pdf
State,https://health.hawaii.gov/dcab/files/2014/11/2014-DCABtravel-Oahu.pdf
State,https://luc.hawaii.gov/wp-content/uploads/2019/08/A19-809-Working-Miki-Basin-C-00137622.pdf