PDF Link,AI Applications,Similarity Scores
https://veterans.idaho.gov/wp-content/uploads/2024/05/2024-MAY-Bulletin.pdf,[],{}
https://aging.idaho.gov/wp-content/uploads/2024/03/ready-gov_caregivers-preparedness-guide.pdf,[],{}
https://adminrules.idaho.gov/rules/current/16/160227.pdf,[],{}
https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/49632-2022/49632-20222-202210-28-IDWR-Appellants-Combined-Reply-Cross-Response-Brief.pdf,[],{}
https://dph.illinois.gov/content/dam/soi/en/web/idph/publications/idph/topics-and-services/provider-partner-resources/healthy-illinois/2028/state-health-improvement-plan_2028.pdf,[],{}
https://hfs.illinois.gov/content/dam/soi/en/web/hfs/sitecollectiondocuments/genetherapyvcommoncare.pdf,[],{}
https://www.in.gov/health/files/HWFC-03.19.25.pdf,[],{}
https://publications.iowa.gov/41480/1/Iowa%20Official%20Register%201987-1988.pdf,[],{}
https://ksbn.kansas.gov/wp-content/uploads/2023/11/Kansas-12_23-WEB.pdf,[],{}
https://ksbn.kansas.gov/wp-content/uploads/Education/Scenario/SimScenario1.pdf,[],{}
https://www.kansas.gov/ethics/CFAScanned/StWide/2014ElecCycle/201401/SW01PD_201401.pdf,[],{}
https://www.kansas.gov/ethics/CFAScanned/CentralComm/2022ElecCycle/202207/CC_JO_D_202207.pdf,[],{}
https://kansas.gov/ethics/CFAScanned/CentralComm/2024ElecCycle/202410/CC_JO_D_202410.pdf,[],{}
https://cpe.ky.gov/aboutus/records/asi_committee/agenda-2024-03-25-asi.pdf,"['Medical Imaging AI', 'Education and Training AI', 'Research and Clinical Trial AI', 'Public Health AI']","{'Medical Imaging AI': 0.6069416745901188, 'Education and Training AI': 0.6369787198735382, 'Research and Clinical Trial AI': 0.6330798550458818, 'Public Health AI': 0.6392418903982967}"
http://dhh.louisiana.gov/assets/oph/Center-EH/engineering/Plumbing/Part_XIV_LA_State_Plumbing_Code.pdf,[],{}
https://www.dnr.louisiana.gov/assets/OC/env_div/ep_waste_sec/UNOCAL_1/3_Rodgers_ERA_Sept30.pdf,[],{}
https://www.maine.gov/future/sites/maine.gov.future/files/2025-03/Understanding-AI-and-future-jobs-Maine-usama-20250214.pdf,[],{}
https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/811210-2.pdf,[],{}
https://mgaleg.maryland.gov/cmte_testimony/2025/fin/29604_03262025_92242-987.pdf,[],{}
https://mgaleg.maryland.gov/cmte_testimony/2025/hgo/1j4iZpX3Ve6-I1rNwbJGBSgJV2LOs03sD.pdf,['Clinical Documentation AI'],{'Clinical Documentation AI': 0.6294705136582064}
"https://www.courts.michigan.gov/496a68/siteassets/committees,-boards-special-initiatves/michigan-judicial-council/2024-mscstateofthejudiciary_mjcyearinreview.pdf",[],{}
https://www.lrl.mn.gov/docs/pre2003/mandated/980393.pdf,[],{}
https://www.mbp.ms.gov/sites/default/files/2024-11/MBP_Minutes_07_11_2024.pdf,[],{}
https://medicaid.ms.gov/wp-content/uploads/2023/01/SDR-User-Guide-Effective-01-01-23.pdf,[],{}
https://www.mbp.ms.gov/sites/default/files/2023-11/MBP_Minutes_09_21_2023.pdf,[],{}
https://ltc.health.mo.gov/wp-content/uploads/sites/18/2024/10/CMS-2786R.pdf,[],{}
https://health.mo.gov/data/pdf/data-landscape-survey-report.pdf,['Public Health AI'],{'Public Health AI': 0.6155532600026222}
https://dmh.mo.gov/sites/dmh/files/media/pdf/2024/01/fyi-fridays-jan-26-2024_0.pdf,[],{}
https://dphhs.mt.gov/assets/BHDD/DDP/MedicalDirector/TheMARhowtofilloutanduse.pdf,[],{}
https://medicaidprovider.mt.gov/docs/feeschedules/2024/ProposedJanuary2025PhysicianServicesFeeSchedule.pdf,[],{}
https://fwp.mt.gov/binaries/content/assets/fwp/conservation/bighorn-sheep/7-bhs_mg-final-report_1_21_2022.pdf,[],{}
https://ccpe.nebraska.gov/sites/default/files/AP_Meeting%20Materials-UNO%20Estab%20BS%20in%20AI-Updated%207-31-24.pdf,[],{}
https://ccpe.nebraska.gov/sites/default/files/AP_UNL%20Data%20Sciences%20BA%20BS%20Proposal.pdf,[],{}
https://das.nebraska.gov/materiel/purchasing/5960/5960%20Z1%20System%20Automation%20Option%20A%20bid%20response.pdf,[],{}
https://govdocs.nebraska.gov/epubs/u0050/b001-2006.pdf,[],{}
https://dhcfp.nv.gov/uploadedFiles/dhcfpnvgov/content/About/HIPAA/Privacy_and_Security_Guide_HIPAA_for_Providers_Page.pdf,[],{}
https://www.nj.gov/health/autism/documents/FY26-clinical-basic-research-rfa.pdf,[],{}
https://hwbdocs.env.nm.gov/Los%20Alamos%20National%20Labs/TA%2021/10830.pdf,[],{}
https://www.wcb.ny.gov/content/main/hcpp/MedFeeSchedules/DME/dme-fee-schedule.pdf,[],{}
https://www.wcb.ny.gov/content/main/hcpp/MedFeeSchedules/4-21-09decisionDMEFeeSch.pdf,[],{}
https://www.supremecourt.ohio.gov/docs/Boards/UPL/UPL2024SeminarMaterials.pdf,['Clinical Documentation AI'],{'Clinical Documentation AI': 0.6337955239471408}
https://dam.assets.ohio.gov/image/upload/med.ohio.gov/about-the-board/Communications/Meeting%20Agendas/Approved_May_2025_Board_Minutes.pdf,[],{}
https://dam.assets.ohio.gov/image/upload/ema.ohio.gov/Documents/Ohio_EOP/AnimalResponse/AnimalResponsePlanDevelopmentGuidanceToolKit.pdf,[],{}
https://www.oregon.gov/osbn/Documents/Sentinel_2024_November.pdf,"['Clinical Documentation AI', 'Operational and Administrative Automation', 'Patient-facing AI', 'Robotics and Surgical AI', 'Education and Training AI', 'Public Health AI', 'Clinical Decision Support']","{'Clinical Documentation AI': 0.6268854367909482, 'Operational and Administrative Automation': 0.6708769910860468, 'Patient-facing AI': 0.6238104775049972, 'Robotics and Surgical AI': 0.6132389790021253, 'Education and Training AI': 0.6238210818277163, 'Public Health AI': 0.6059789930162774, 'Clinical Decision Support': 0.6485250308796502}"
https://www.oregon.gov/oha/Documents/ODHS-OHA-STP-2025-Final.pdf,[],{}
https://www.oregon.gov/omb/Newsletter/Spring%202024.pdf,"['Robotics and Surgical AI', 'Education and Training AI']","{'Robotics and Surgical AI': 0.6028182445113633, 'Education and Training AI': 0.6070974391934821}"
https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/trahan-event-resources/incidentcommand_factsheet.pdf,[],{}
https://www.pa.gov/content/dam/copapwp-pagov/en/dhs/documents/healthchoices/hc-providers/documents/2024-CHC-Agreement-Final.pdf,[],{}
